,tag_id,event_id,visible,timestamp,location_long,location_lat,ground_speed,height_above_ellipsoid,algorithm_marked_outlier,manually_marked_outlier,study_name
0,Ares,3395610551,True,2017-06-24T01:03:57Z,-5.113851,50.170315,684,154.67,False,False,Pet Cats United Kingdom
1,Ares,3395610552,True,2017-06-24T01:11:20Z,-5.113851,50.170315,936,154.67,False,False,Pet Cats United Kingdom
2,Ares,3395610553,True,2017-06-24T02:58:16Z,-5.11373,50.169876,2340,81.35,False,False,Pet Cats United Kingdom
3,Ares,3395610554,True,2017-06-24T03:01:26Z,-5.113774,50.169827,0,67.82,False,False,Pet Cats United Kingdom
4,Ares,3395610555,True,2017-06-24T03:51:58Z,-5.114247,50.170139,4896,118.03,False,False,Pet Cats United Kingdom
5,Ares,3395610556,True,2017-06-24T03:55:03Z,-5.114099,50.170235,504,123.07,False,False,Pet Cats United Kingdom
6,Ares,3395610557,True,2017-06-24T05:24:17Z,-5.114242,50.169842,108,27.13,False,False,Pet Cats United Kingdom
7,Ares,3395610558,True,2017-06-24T05:27:23Z,-5.114302,50.169815,504,36.31,False,False,Pet Cats United Kingdom
8,Ares,3395610559,True,2017-06-24T09:14:37Z,-5.114786,50.169586,252,67.42,False,False,Pet Cats United Kingdom
9,Ares,3395610560,True,2017-06-24T09:17:42Z,-5.114851,50.169476,4068,78.9,False,False,Pet Cats United Kingdom
10,Ares,3395610561,True,2017-06-24T10:20:37Z,-5.114976,50.169918,1080,-21.73,False,False,Pet Cats United Kingdom
11,Ares,3395610562,True,2017-06-24T10:23:46Z,-5.115106,50.170002,792,-69.74,False,False,Pet Cats United Kingdom
12,Ares,3395610563,True,2017-06-24T11:43:04Z,-5.115317,50.170776,900,53.71,False,False,Pet Cats United Kingdom
13,Ares,3395610564,True,2017-06-24T11:46:19Z,-5.115524,50.171623,360,76.49,False,False,Pet Cats United Kingdom
14,Ares,3395610565,True,2017-06-24T11:52:53Z,-5.115473,50.171246,144,142.42,False,False,Pet Cats United Kingdom
15,Ares,3395610566,True,2017-06-24T11:56:07Z,-5.1152,50.170731,1908,122.92,False,False,Pet Cats United Kingdom
16,Ares,3395610567,True,2017-06-24T12:31:00Z,-5.114625,50.170361,972,164.37,False,False,Pet Cats United Kingdom
17,Ares,3395610568,True,2017-06-24T12:34:08Z,-5.113945,50.170513,1188,206.63,False,False,Pet Cats United Kingdom
18,Ares,3395610569,True,2017-06-24T12:46:27Z,-5.114438,50.170357,2880,8.82,False,False,Pet Cats United Kingdom
19,Ares,3395610570,True,2017-06-24T12:49:39Z,-5.114226,50.169998,1620,47.75,False,False,Pet Cats United Kingdom
